10,"284.4541227828843,602.000966731689,284.4541227828843,382.3492760218745,409.2963705857816,382.3492760218745,409.8852491131537,384.7047901313631,410.47412764052586,382.3492760218745,422.251698187969,382.3492760218745,422.8405767153412,384.115911603991,423.4294552427133,382.3492760218745,590.0820784890336,382.3492760218745,590.0820784890336,602.000966731689"
3,"363.9527239781255,388.238061295596,365.1304810328698,385.88254718610744,362.77496692338116,385.88254718610744"
4,"366.89711661498626,388.8269398229682,368.6637521971027,389.4158183503404,369.84150925184707,387.6491827682239,367.48599514235843,386.47142571347956"
3,"418.71842702373607,390.0046968777125,421.0739411332247,385.29366865873527,416.9517914416196,384.7047901313631"
3,"342.7530969927278,389.4158183503404,342.1642184653557,382.3492760218745,340.98646141061135,387.6491827682239"
2,"534.1386183886788,390.0046968777125,535.9052539707952,387.06030424085174"
4,"517.6500196222584,391.77133245982895,520.005533731747,387.06030424085174,516.4722625675141,385.88254718610744,515.8833840401419,388.8269398229682"
4,"543.5606748266333,392.3602109872011,544.7384318813777,390.59357540508466,544.1495533540054,385.29366865873527,542.382917771889,390.59357540508466"
3,"501.161420855838,392.9490895145733,502.92805643795447,392.9490895145733,501.7502993832102,385.29366865873527"
3,"546.5050674634941,393.5379680419454,545.9161889361219,386.47142571347956,544.7384318813777,390.59357540508466"
2,"455.81777424818193,402.96002447989997,452.8733816113212,402.3711459525278"
2,"441.68468959125016,402.96002447989997,436.97366137227294,402.3711459525278"
4,"402.22982825731566,409.4376882809937,404.5853423668043,404.72666006201644,400.4631926751992,403.5489030072721,399.874314147827,405.9044171167608"
4,"385.15235096352313,410.0265668083658,387.50786507301177,405.31553858938855,383.97459390877884,404.13778153464426,383.38571538140667,407.082174171505"
4,"367.48599514235843,410.0265668083658,369.2526307244749,405.31553858938855,365.71935956024197,404.13778153464426,365.1304810328698,406.4932956441329"
2,"478.784036815696,428.2818011569027,475.8396441788353,428.2818011569027"
3,"461.1176809945313,464.79226985397645,460.5288024671592,463.02563427186,458.76216688504275,463.6145127992321"
2,"447.57347486497173,465.97002690872074,448.7512319197161,463.02563427186"
3,"314.48692767886433,474.2143262919309,315.0758062062365,469.50329807295367,313.30917062412004,469.50329807295367"
2,"505.8724490748153,498.3583459141894,527.0720760602129,498.3583459141894"
4,"343.3419755201,506.60264529739953,345.1086111022165,501.8916170784223,342.1642184653557,500.71386002367797,341.57533993798353,503.6582526605388"
2,"385.7412294908953,509.54703793426035,386.3301080182674,503.6582526605388"
4,"343.93085404747217,520.7357299543313,346.28636815696075,516.024701735354,342.7530969927278,514.8469446806098,342.1642184653557,517.7913373174706"
4,"327.44225528105176,524.2690011185642,329.7977693905404,519.557972899587,326.26449822630747,518.3802158448427,325.6756196989353,520.7357299543313"
3,"515.2945055127698,524.8578796459365,513.5278699306533,522.5023655364478,512.350112875909,523.6801225911921"
3,"521.7721693138635,536.0465716660074,523.53880489598,530.1577863922857,521.7721693138635,530.746664919658"
2,"517.6500196222584,537.8132072481238,515.2945055127698,536.6354501933795"
2,"502.33917791058235,542.5242354671011,499.39478527372154,541.3464784123569"
4,"535.9052539707952,554.3018060145442,525.8943190054686,549.0018992681948,525.3054404780964,550.1796563229391,532.3719828065623,554.3018060145442"
2,"429.90711904380703,557.246198651405,430.4959975711792,547.8241422134505"
4,"341.57533993798353,563.7238624524987,343.3419755201,559.0128342335215,340.98646141061135,557.8350771787772,339.80870435586706,560.1905912882658"
3,"353.94178901279884,571.968161835709,355.7084245949153,566.6682550893595,352.17515343068237,566.0793765619874"
2,"320.3757129525859,573.1459188904532,322.7312270620745,571.3792833083368"
2,"317.4313203157251,576.6791900546862,320.3757129525859,574.9125544725698"
4,"368.0748736697306,579.623582691547,370.43038777921925,574.9125544725698,366.89711661498626,573.7347974178253,366.3082380876141,576.090311527314"
3,"310.36477798725923,579.623582691547,312.1314135693757,576.6791900546862,309.1870209325149,577.2680685820583"
2,"446.9845963375996,584.3346109105242,456.4066527755541,584.3346109105242"
