4,"355.28636815696075,535.9572268703823,820.9224612189191,535.3683483430101,820.333582691547,283.0402993832102,355.3419755201,283.0402993832102"
6,"401.6409497299435,343.48329321531213,430.4959975711792,343.48329321531213,431.0848760985514,296.96188955291177,372.7859018887078,296.3730110255396,372.1970233613357,323.4614232846588,400.4631926751992,324.05030181203097"
4,"372.7859018887078,342.89441468793996,399.874314147827,343.48329321531213,400.4631926751992,325.22805886677526,373.37478041608,324.6391803394031"
4,"372.7859018887078,383.52703307661875,419.89618407848036,384.115911603991,420.48506260585253,344.6610502700564,373.37478041608,344.0721717426843"
4,"372.7859018887078,416.50423060945957,419.30730555110824,417.0931091368317,419.89618407848036,385.29366865873527,373.37478041608,384.7047901313631"
6,"372.1970233613357,466.5589054360929,445.80683928285526,467.14778396346503,446.39571781022744,448.30367108755604,420.48506260585253,447.71479256018387,419.89618407848036,417.6819876642039,373.37478041608,417.6819876642039"
4,"372.1970233613357,490.1140465309792,429.90711904380703,490.7029250583513,430.4959975711792,468.3255410182094,372.7859018887078,467.7366624908372"
4,"372.1970233613357,527.213393755425,429.90711904380703,527.8022722827972,430.4959975711792,491.88068211309565,372.7859018887078,491.29180358572347"
4,"431.0848760985514,526.6245152280528,446.9845963375996,526.6245152280528,445.80683928285526,482.4586256751411,431.0848760985514,483.04750420251327"
5,"447.57347486497173,519.557972899587,465.8287092135086,520.1468514269591,466.4175877408808,448.30367108755604,446.9845963375996,448.30367108755604,446.9845963375996,481.869747147769"
4,"467.0064662682529,519.557972899587,498.21702821897725,519.557972899587,497.6281496916051,439.4704931769737,467.0064662682529,440.05937170434584"
4,"498.80590674634936,519.557972899587,518.2388981496306,519.557972899587,517.6500196222584,455.95909194339407,498.80590674634936,456.54797047076624"
4,"518.8277766770027,519.557972899587,538.2607680802839,519.557972899587,537.6718895529117,454.1924563612776,518.8277766770027,454.7813348886498"
4,"538.849646607656,519.557972899587,561.227030647798,519.557972899587,560.6381521204258,455.95909194339407,538.849646607656,456.54797047076624"
6,"561.8159091751702,519.557972899587,581.8377791058235,519.557972899587,581.2489005784513,437.114979067485,571.2379656131246,437.114979067485,570.6490870857525,455.95909194339407,561.8159091751702,456.54797047076624"
4,"582.4266576331956,519.557972899587,600.0930134543603,519.557972899587,599.5041349269882,457.13684899813836,582.4266576331956,457.72572752551054"
4,"600.6818919817325,519.557972899587,620.1148833850136,519.557972899587,619.5260048576415,442.4148858138345,600.6818919817325,443.00376434120665"
4,"620.7037619123859,519.557972899587,639.5478747882948,519.557972899587,638.9589962609227,441.2371287590902,620.7037619123859,441.8260072864623"
4,"640.136753315667,514.2580661532376,660.7475017736924,514.2580661532376,660.1586232463203,441.2371287590902,640.136753315667,441.8260072864623"
4,"661.3363803010647,514.2580661532376,681.358250231718,514.2580661532376,680.7693717043458,465.97002690872074,661.3363803010647,466.5589054360929"
6,"681.9471287590901,507.7804023521438,711.391055127698,507.7804023521438,710.8021766003258,451.24806372441685,699.0246060528826,452.4258207791611,699.0246060528826,465.97002690872074,681.9471287590901,466.5589054360929"
6,"711.9799336550701,516.024701735354,746.1348882426553,516.024701735354,745.546009715283,441.2371287590902,733.1795606404678,441.8260072864623,732.5906821130956,465.38114838134857,711.9799336550701,465.97002690872074"
6,"746.7237667700274,516.024701735354,796.1895630692885,516.024701735354,797.3673201240329,429.45955821164705,767.3345152280529,429.45955821164705,766.7456367006807,441.2371287590902,746.7237667700274,441.8260072864623"
4,"749.6681594068882,422.9818944105533,797.956198651405,423.5707729379254,798.5450771787771,398.2489962609227,750.2570379342603,397.6601177335506"
4,"756.145823207982,396.48236067880623,797.956198651405,397.0712392061784,798.5450771787771,378.22712633026936,756.7347017353541,377.63824780289724"
4,"776.1676931386353,376.4604907481529,797.956198651405,377.04936927552507,798.5450771787771,365.8606772554541,776.7565716660074,364.68292020070976"
8,"756.145823207982,376.4604907481529,775.578814611263,376.4604907481529,775.578814611263,351.72759259852234,798.5450771787771,351.13871407115016,798.5450771787771,298.72852513502824,774.4010575565187,298.13964660765606,773.8121790291466,286.3620760602129,756.145823207982,286.9509545875851"
6,"742.0127385510501,376.4604907481529,755.5569446806097,376.4604907481529,754.9680661532375,298.13964660765606,734.9461962225843,298.72852513502824,734.9461962225843,354.6719852353831,742.0127385510501,355.26086376275526"
4,"717.8687189287916,354.6719852353831,734.357317695212,354.6719852353831,733.7684391678399,298.13964660765606,717.8687189287916,298.72852513502824"
4,"694.9024563612776,355.84974229012744,717.2798404014195,355.84974229012744,716.6909618740474,298.13964660765606,694.9024563612776,298.72852513502824"
4,"675.4694649579964,355.84974229012744,694.3135778339054,355.84974229012744,693.7246993065332,298.13964660765606,675.4694649579964,298.72852513502824"
4,"653.0920809178544,356.43862081749955,674.8805864306242,356.43862081749955,674.2917079032521,298.13964660765606,653.0920809178544,298.72852513502824"
4,"652.5032023904823,375.8716122207808,651.9143238631101,298.13964660765606,630.7146968777125,298.72852513502824,630.7146968777125,375.2827336934086"
6,"615.9927336934086,379.9937619123858,630.7146968777125,379.4048833850137,629.5369398229682,298.13964660765606,607.1595557828263,298.72852513502824,607.1595557828263,362.9162846185933,615.4038551660365,364.09404167333764"
4,"585.3710502700565,362.9162846185933,606.570677255454,362.9162846185933,605.9817987280819,298.13964660765606,585.3710502700565,298.72852513502824"
4,"562.4047877025423,362.9162846185933,584.7821717426842,362.9162846185933,584.1932932153121,298.13964660765606,562.4047877025423,298.72852513502824"
6,"537.0830110255396,383.52703307661875,549.4494601003548,382.93815454924663,550.0383386277271,364.68292020070976,561.8159091751702,364.09404167333764,561.227030647798,298.13964660765606,537.0830110255396,298.72852513502824"
4,"515.2945055127698,365.8606772554541,536.4941324981675,365.8606772554541,535.9052539707952,298.13964660765606,515.2945055127698,298.72852513502824"
4,"498.80590674634936,377.04936927552507,514.7056269853977,377.04936927552507,514.1167484580254,298.13964660765606,498.80590674634936,298.72852513502824"
4,"477.60627976095174,361.14964903647683,498.21702821897725,361.14964903647683,497.6281496916051,299.31740366240035,477.60627976095174,299.9062821897725"
4,"454.05113866606547,361.14964903647683,477.01740123357956,361.14964903647683,476.42852270620745,299.9062821897725,454.05113866606547,300.4951607171447"
4,"431.6737546259235,361.14964903647683,453.4622601386933,361.14964903647683,452.8733816113212,301.0840392445168,431.6737546259235,301.672917771889"
