80,"284.4541227828843,565.4904980346153,388.0967436003839,564.9016195072431,387.50786507301177,556.6573201240328,348.64188226644944,563.1349839251266,348.05300373907727,481.2808686203968,284.4541227828843,481.2808686203968,348.64188226644944,480.69199009302463,348.05300373907727,439.4704931769737,346.28636815696075,440.05937170434584,346.28636815696075,480.1031115656525,345.69748962958863,439.4704931769737,284.4541227828843,439.4704931769737,348.64188226644944,438.8816146496015,348.64188226644944,355.84974229012744,284.4541227828843,355.26086376275526,348.64188226644944,354.6719852353831,348.05300373907727,313.4504883193321,346.28636815696075,314.0393668467043,346.28636815696075,354.083106708011,345.69748962958863,313.4504883193321,284.4541227828843,313.4504883193321,345.69748962958863,313.4504883193321,346.28636815696075,251.61824294525567,346.875246684333,313.4504883193321,348.64188226644944,312.86160979195995,349.23076079382156,278.7066552043749,388.0967436003839,288.1287116423294,388.0967436003839,251.61824294525567,388.68562212775606,289.3064686970737,471.128615959858,310.50609568247137,472.30637301460234,251.61824294525567,472.30637301460234,309.9172171550992,482.90618650730113,313.4504883193321,514.1167484580254,312.86160979195995,514.1167484580254,251.61824294525567,514.7056269853977,313.4504883193321,597.7374993448717,313.4504883193321,598.3263778722438,251.61824294525567,598.915256399616,313.4504883193321,640.136753315667,312.86160979195995,640.136753315667,251.61824294525567,640.7256318430392,313.4504883193321,723.7575042025132,313.4504883193321,724.3463827298854,251.61824294525567,724.3463827298854,312.86160979195995,765.5678796459364,313.4504883193321,766.1567581733086,251.61824294525567,766.1567581733086,312.86160979195995,778.5232072481238,313.4504883193321,766.1567581733086,314.0393668467043,766.1567581733086,354.083106708011,765.5678796459364,313.4504883193321,724.9352612572576,313.4504883193321,724.3463827298854,354.083106708011,723.7575042025132,313.4504883193321,640.7256318430392,313.4504883193321,640.136753315667,353.4942281806388,645.4366600620165,355.26086376275526,778.5232072481238,355.26086376275526,724.3463827298854,355.84974229012744,724.9352612572576,439.4704931769737,766.1567581733086,438.8816146496015,766.1567581733086,356.43862081749955,766.1567581733086,438.8816146496015,778.5232072481238,439.4704931769737,766.1567581733086,440.05937170434584,766.1567581733086,480.1031115656525,765.5678796459364,439.4704931769737,724.9352612572576,439.4704931769737,724.3463827298854,480.1031115656525,723.7575042025132,439.4704931769737,679.5916146496015,439.4704931769737,657.2142306094595,480.1031115656525,778.5232072481238,481.2808686203968,766.1567581733086,481.869747147769,766.1567581733086,564.3127409798709,766.1567581733086,481.869747147769,724.3463827298854,481.869747147769,724.3463827298854,564.9016195072431,778.5232072481238,565.4904980346153"
2,"472.30637301460234,312.86160979195995,477.60627976095174,312.86160979195995"
4,"388.0967436003839,312.86160979195995,471.71749448723017,313.4504883193321,472.30637301460234,311.68385273721566,388.68562212775606,289.89534722444586"
4,"349.23076079382156,312.86160979195995,387.50786507301177,313.4504883193321,388.0967436003839,289.89534722444586,349.81963932119373,279.8844122591192"
3,"514.1167484580254,320.51703064779804,513.5278699306533,313.4504883193321,486.4394576715341,314.0393668467043"
4,"598.3263778722438,342.30553616056784,597.7374993448717,313.4504883193321,514.7056269853977,313.4504883193321,514.1167484580254,321.10590917517015"
4,"639.5478747882948,353.4942281806388,640.136753315667,314.0393668467043,598.915256399616,313.4504883193321,598.3263778722438,342.30553616056784"
18,"349.23076079382156,354.6719852353831,640.136753315667,354.6719852353831,600.6818919817325,344.0721717426843,598.3263778722438,344.6610502700564,598.3263778722438,354.083106708011,597.7374993448717,343.48329321531213,515.8833840401419,322.2836662299145,514.1167484580254,322.8725447572866,514.1167484580254,354.083106708011,514.1167484580254,322.2836662299145,481.72842945255684,313.4504883193321,472.30637301460234,314.0393668467043,472.30637301460234,354.083106708011,471.71749448723017,313.4504883193321,388.68562212775606,313.4504883193321,388.0967436003839,354.083106708011,388.0967436003839,314.0393668467043,349.81963932119373,313.4504883193321"
5,"679.5916146496015,438.8816146496015,723.7575042025132,439.4704931769737,724.3463827298854,355.84974229012744,649.5588097536215,355.84974229012744,714.9243262919309,372.92721958391996"
11,"514.1167484580254,438.8816146496015,597.7374993448717,439.4704931769737,598.3263778722438,356.43862081749955,598.915256399616,439.4704931769737,640.136753315667,438.8816146496015,640.136753315667,356.43862081749955,640.7256318430392,439.4704931769737,678.4138575948572,439.4704931769737,713.7465692371866,373.51609811129214,644.2589030072721,355.26086376275526,514.7056269853977,355.26086376275526"
7,"388.0967436003839,438.8816146496015,471.71749448723017,439.4704931769737,472.30637301460234,356.43862081749955,472.30637301460234,438.8816146496015,513.5278699306533,439.4704931769737,514.1167484580254,355.84974229012744,388.68562212775606,355.26086376275526"
4,"349.23076079382156,438.8816146496015,388.0967436003839,438.8816146496015,387.50786507301177,355.26086376275526,349.23076079382156,355.84974229012744"
19,"349.23076079382156,480.69199009302463,655.4475950273431,481.2808686203968,678.4138575948572,440.05937170434584,640.136753315667,440.05937170434584,640.136753315667,480.1031115656525,639.5478747882948,439.4704931769737,598.915256399616,439.4704931769737,598.3263778722438,480.1031115656525,597.7374993448717,439.4704931769737,514.7056269853977,439.4704931769737,514.1167484580254,480.1031115656525,513.5278699306533,439.4704931769737,472.89525154197446,439.4704931769737,472.30637301460234,480.1031115656525,471.71749448723017,439.4704931769737,388.68562212775606,439.4704931769737,388.0967436003839,480.1031115656525,388.0967436003839,440.05937170434584,349.81963932119373,439.4704931769737"
4,"640.136753315667,508.36928087951605,650.1476882809936,492.46956064046776,654.8587164999709,481.2808686203968,640.136753315667,481.869747147769"
4,"598.3263778722438,518.9690943722148,638.9589962609227,512.4914305711211,640.136753315667,481.869747147769,598.915256399616,481.2808686203968"
4,"514.1167484580254,533.1021790291466,597.7374993448717,519.557972899587,598.3263778722438,481.869747147769,514.7056269853977,481.2808686203968"
4,"472.30637301460234,540.7575998849846,514.1167484580254,533.6910575565187,513.5278699306533,481.2808686203968,472.30637301460234,481.869747147769"
4,"388.0967436003839,555.4795630692886,471.71749448723017,541.3464784123569,472.30637301460234,481.869747147769,388.68562212775606,481.2808686203968"
4,"349.23076079382156,561.9572268703823,388.0967436003839,555.4795630692886,387.50786507301177,481.2808686203968,349.23076079382156,481.869747147769"
5,"640.136753315667,564.9016195072431,723.7575042025132,565.4904980346153,724.3463827298854,481.869747147769,657.2142306094595,481.2808686203968,640.136753315667,511.902552043749"
4,"598.3263778722438,564.9016195072431,640.136753315667,564.9016195072431,639.5478747882948,513.0803090984932,598.3263778722438,520.7357299543313"
4,"514.1167484580254,564.9016195072431,597.7374993448717,565.4904980346153,598.3263778722438,520.7357299543313,515.2945055127698,534.2799360838909"
8,"388.0967436003839,564.9016195072431,513.5278699306533,565.4904980346153,514.1167484580254,535.4576931386352,472.89525154197446,541.935356939729,472.30637301460234,564.3127409798709,471.128615959858,541.935356939729,389.86337918250035,556.0684415966607,388.0967436003839,557.246198651405"
