5,"299.1760859671882,587.8678820747572,299.1760859671882,383.52703307661875,549.4494601003548,383.52703307661875,689.0136710875561,496.5917103320729,689.0136710875561,589.6345176568736"
5,"688.4247925601838,589.0456391295015,689.0136710875561,497.18058885944504,548.8605815729827,383.52703307661875,299.76496449456045,384.115911603991,299.1760859671882,586.6901250200128"
4,"488.2060932536506,427.10404410215835,488.2060932536506,398.83787478829487,532.3719828065623,399.42675331566704,531.7831042791902,427.10404410215835"
4,"488.2060932536506,425.92628704741406,531.194225751818,426.51516557478624,531.7831042791902,400.01563184303916,488.7949717810227,399.42675331566704"
4,"626.0036686587353,501.30273855105014,558.2826380109373,448.89254961492816,574.1823582499854,427.6929226295305,642.4922674251557,481.2808686203968"
4,"584.7821717426842,468.9144195455815,600.0930134543603,449.48142814230033,575.3601153047298,428.8706796842748,558.8715165383094,448.30367108755604"
4,"626.5925471861074,501.30273855105014,641.9033888977834,481.2808686203968,601.2707705091046,448.89254961492816,585.3710502700565,468.9144195455815"
4,"650.1476882809936,543.7019925218453,650.1476882809936,521.9134870090757,671.9361937937634,521.9134870090757,671.9361937937634,543.7019925218453"
4,"650.7365668083658,543.1131139944732,671.3473152663913,543.1131139944732,670.7584367390191,521.9134870090757,650.7365668083658,522.5023655364478"
4,"509.4057202390482,571.968161835709,509.4057202390482,534.2799360838909,629.5369398229682,533.6910575565187,629.5369398229682,571.968161835709"
4,"566.5269373941474,571.3792833083368,628.3591827682238,571.968161835709,628.9480612955961,534.2799360838909,567.1158159215196,533.6910575565187"
4,"509.9945987664204,571.3792833083368,565.3491803394031,571.968161835709,565.9380588667752,534.8688146112631,510.5834772937925,534.2799360838909"
12,"318.02019884309726,572.5570403630811,317.4313203157251,514.8469446806098,318.02019884309726,400.01563184303916,452.8733816113212,399.42675331566704,452.8733816113212,425.3374085200419,363.9527239781255,425.3374085200419,337.4531902463784,450.6591851970446,337.4531902463784,536.0465716660074,394.57440740147763,536.0465716660074,395.1632859288498,521.9134870090757,462.2954380492757,521.9134870090757,462.2954380492757,572.5570403630811"
4,"408.1186135310372,424.7485299926698,452.284503083949,425.3374085200419,452.8733816113212,400.60451037041133,408.7074920584094,400.01563184303916"
4,"363.36384545075333,424.7485299926698,406.94085647629294,425.3374085200419,407.5297350036651,401.1933888977835,363.9527239781255,400.60451037041133"
5,"318.02019884309726,449.48142814230033,337.4531902463784,450.0703066696725,362.77496692338116,425.3374085200419,362.18608839600904,400.60451037041133,318.02019884309726,401.1933888977835"
4,"318.02019884309726,514.2580661532376,336.8643117190063,514.2580661532376,336.27543319163414,450.6591851970446,318.02019884309726,451.24806372441685"
4,"395.1632859288498,571.968161835709,461.7065595219035,572.5570403630811,462.2954380492757,522.5023655364478,395.752164456222,521.9134870090757"
4,"361.59720986863687,571.968161835709,395.1632859288498,571.968161835709,394.57440740147763,536.6354501933795,361.59720986863687,537.2243287207517"
6,"318.02019884309726,571.968161835709,361.59720986863687,571.968161835709,361.59720986863687,537.8132072481238,336.8643117190063,536.6354501933795,336.27543319163414,514.8469446806098,318.02019884309726,515.4358232079819"
