0,repeatable,0,,,"641,543,671,543,671,522,641,523"
1,repeatable,1,,2,"627,501,642,481,601,449,585,469"
2,repeatable,1,1,,"585,469,600,449,575,429,559,448"
3,repeatable,2,,4,"488,426,531,427,532,400,489,399"
4,repeatable,2,3,5,"408,425,452,425,453,401,409,400"
5,repeatable,2,4,6,"363,425,407,425,408,401,364,401"
6,fixed,"2,3",5,7,"318,447,337,447,363,425,362,401,318,401"
7,repeatable,3,6,8,"318,524,337,524,336,448,318,447"
8,fixed,"3,4",7,9,"318,572,362,572,362,538,337,537,336,525,318,524"
9,repeatable,4,8,10,"362,572,395,572,395,537,362,537"
10,repeatable,4,9,11,"395,572,462,573,462,527,396,527"
11,repeatable,4,10,12,"510,571,565,572,566,535,511,534"
12,repeatable,4,11,,"567,571,628,572,629,534,567,534"
