0,repeatable,0,,,"691,482,722,477,722,464,691,465"
1,repeatable,1,,2,"677,445,693,425,652,385,635,409"
2,repeatable,1,1,,"635,409,651,385,626,358,609,382"
3,repeatable,2,,4,"537,342,581,352,584,315,540,300"
4,repeatable,2,3,5,"456,322,501,333,504,291,459,274"
5,repeatable,2,4,6,"410,312,455,322,458,275,414,260"
6,fixed,"2,3",5,7,"362,357,381,358,410,312,412,259,367,245"
7,repeatable,3,6,8,"353,547,373,543,380,361,362,357"
8,fixed,"3,4",7,9,"348,664,395,643,398,569,372,574,372,546,353,547"
9,repeatable,4,8,10,"395,643,430,627,433,555,398,566"
10,repeatable,4,9,11,"430,627,501,595,504,514,435,534"
11,repeatable,4,10,12,"552,569,610,544,613,494,555,510"
12,repeatable,4,11,,"612,541,677,514,679,477,614,493"
